場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260821,金,4:58,アオイハルカ,,牝,3,400,大久保龍,,138.6,119.0,99.6,82.6,67.0,51.5,36.6,22.6,11.2,19.6,19.4,17.0,15.6,15.5,14.9,14.0,11.4,11.2,2023106068,2026.8.21,栗東,コントレイル,アオイプリンセス,新谷正子,チャンピオンズファーム,,
栗東,C,右,20260821,金,5:33,スターチューン,,牝,3,0,奥村豊,,,,,88.8,70.9,54.7,38.7,23.9,11.7,,,,17.9,16.2,16.0,14.8,12.2,11.7,2023106848,2026.8.21,栗東,クリソベリル,アルアリングスター,上川洋,ノーザンファーム,,
栗東,C,右,20260821,金,5:33,テーオーアルアイン,,牡,3,900,奥村豊,,,,,87.5,69.9,53.8,38.2,23.6,11.6,,,,17.6,16.1,15.6,14.6,12.0,11.6,2023105241,2026.8.21,栗東,アルアイン,シードラゴン,小笹公也,社台ファーム,,
栗東,C,右,20260821,金,5:53,メイショウブレゲ,,牡,7,2700,本田優,,157.2,128.3,104.9,83.9,66.9,51.1,35.9,22.1,11.0,28.9,23.4,21.0,17.0,15.8,15.2,13.8,11.1,11.0,2019104091,2026.8.21,栗東,ゴールドシップ,メイショウスイヅキ,松本好隆,三嶋牧場,,
栗東,C,右,20260821,金,6:24,オーリエイト,,牡,2,0,小栗実,,,,,84.2,67.3,52.2,36.9,23.2,11.5,,,,16.9,15.1,15.3,13.7,11.7,11.5,2024107041,2026.8.21,栗東,ナダル,ピュリティゴールド,G1レーシング,社台コーポレーション白老ファーム,,
栗東,C,右,20260821,金,6:24,ヴォンドゥ,,牝,3,400,小栗実,,,,,85.4,68.5,53.0,37.5,23.4,11.6,,,,16.9,15.5,15.5,14.1,11.8,11.6,2023101810,2026.8.21,栗東,ルヴァンスレーヴ,キティ,ヒダカ・ブリーダーズ・ユニオン,中神牧場,,
栗東,C,右,20260821,金,6:33,エンベッカ,,牝,4,400,柴田卓,,,,,,,51.5,37.0,23.1,11.5,,,,,,14.5,13.9,11.6,11.5,2022104824,2026.8.21,栗東,サトノダイヤモンド,シンハリーズ,キャロットファーム,ノーザンファーム,,
栗東,C,右,20260821,金,7:13,ベンダバール,,牡,5,900,牧浦充徳,,,,,,,55.4,39.8,25.8,13.3,,,,,,15.6,14.0,12.5,13.3,2021101077,2026.8.21,栗東,ドレフォン,ラヴアズギフト,グリーンファーム,新井昭二牧場,,
美浦,D,左,20260821,金,5:09,ヘイマー,,牡,3,0,伊藤伸一,,,,,81.6,65.6,51.9,38.0,24.3,11.8,,,,16.0,13.7,13.9,13.7,12.5,11.8,2023105553,2026.8.21,美浦,アドマイヤムーン,ヴァレリカ,田頭勇貴,那須野,,
美浦,D,左,20260821,金,5:10,ピーエムキンチャン,,牡,3,0,和田正一,,,,,87.1,69.5,53.4,38.5,24.1,11.6,,,,17.6,16.1,14.9,14.4,12.5,11.6,2023107455,2026.8.21,美浦,タリスマニック,ミスアバンセ,松山毅,村上進治,,
美浦,D,左,20260821,金,5:10,プリンシパルギフト,,牡,2,未出走,和田正一,,,,,84.8,68.4,52.4,37.8,23.9,11.7,,,,16.4,16.0,14.6,13.9,12.2,11.7,2024107065,2026.8.21,美浦,ドレフォン,ラストプリマドンナ,シルクレーシング,社台コーポレーション白老ファーム,,
美浦,D,左,20260821,金,5:10,マイネルシードル,,牡,2,未出走,和田正一,,,,,86.4,69.2,53.2,38.4,24.1,11.7,,,,17.2,16.0,14.8,14.3,12.4,11.7,2024103651,2026.8.21,美浦,ダノンバラード,マイネグレヴィル,サラブレッドクラブ・ラフィアン,ブルースターズファーム,,
美浦,D,左,20260821,金,5:13,キャミソール,,牝,2,未出走,深山雅史,,,,,89.1,71.0,55.1,40.0,25.7,12.7,,,,18.1,15.9,15.1,14.3,13.0,12.7,2024104417,2026.8.21,美浦,チュウワウィザード,クインズオライリー,由井健太郎,佐竹牧場,,
美浦,D,左,20260821,金,5:13,ヘヴンリーサイン,,牡,3,0,深山雅史,,,,,90.4,71.8,56.0,41.0,26.1,12.8,,,,18.6,15.8,15.0,14.9,13.3,12.8,2023106040,2026.8.21,美浦,エポカドーロ,アグネスエンジェル,岡田牧雄,上村勇人,,
美浦,D,左,20260821,金,5:18,トモジャシャトー,,牡,5,400,小笠倫弘,,,,,87.5,69.8,54.1,39.1,25.1,12.1,,,,17.7,15.7,15.0,14.0,13.0,12.1,2021101041,2026.8.21,美浦,デクラレーションオブウォー,ジーニマジック,吉冨学,天羽牧場,,
美浦,D,左,20260821,金,5:18,マサノピンクレディ,,牝,3,400,小笠倫弘,,,,,87.7,69.9,54.1,39.1,25.1,12.1,,,,17.8,15.8,15.0,14.0,13.0,12.1,2023103006,2026.8.21,美浦,ダノンレジェンド,モエレピンクダイヤ,中村時子,中田浩美,,
美浦,D,左,20260821,金,6:16,マイネルリーヒム,,牡,3,400,武市康男,,,,,91.2,73.0,56.2,40.7,26.0,12.2,,,,18.2,16.8,15.5,14.7,13.8,12.2,2023104485,2026.8.21,美浦,ゴールドシップ,ゲハイムローゼ,サラブレッドクラブ・ラフィアン,ブルースターズファーム,,
美浦,D,左,20260821,金,6:23,アルビオンライズ,,牡,2,未出走,和田正一,,,,,87.7,70.1,54.0,38.2,23.6,11.3,,,,17.6,16.1,15.8,14.6,12.3,11.3,2024105970,2026.8.21,美浦,ミッキーアイル,ナイトオブイングランド,社台レースホース,社台ファーム,,
美浦,D,左,20260821,金,6:23,スカイミラー,,牡,2,未出走,和田正一,,,,,88.0,70.4,54.3,38.5,23.8,11.2,,,,17.6,16.1,15.8,14.7,12.6,11.2,2024103169,2026.8.21,美浦,ワールドプレミア,アイリッシュハート,スピードファーム,スピードフアーム,,
美浦,D,左,20260821,金,6:23,ピーエムリンダ,,牝,2,未出走,和田正一,,,,,87.1,69.6,53.6,37.9,23.4,11.1,,,,17.5,16.0,15.7,14.5,12.3,11.1,2024106588,2026.8.21,美浦,クリソベリル,ベルクワイア,松山毅,ノーザンファーム,,
美浦,D,左,20260821,金,7:07,ブライティアロード,,牝,3,0,和田正一,,,,,92.4,73.6,56.2,40.4,25.5,11.8,,,,18.8,17.4,15.8,14.9,13.7,11.8,2023100573,2026.8.21,美浦,ダノンスマッシュ,ブライティアレディ,小林昌志,雅牧場,,
美浦,D,左,20260821,金,7:25,ウインシュクラン,,セ,8,2400,和田正一,,,,,82.4,66.4,52.0,37.9,23.8,11.2,,,,16.0,14.4,14.1,14.1,12.6,11.2,2018101615,2026.8.21,美浦,スクリーンヒーロー,イクスキューズ,ウイン,コスモヴューファーム,,
